f,A
1507,-109.14
1508,-108.53
1509,-108.68
151,-37.561
1510,-110.17
1511,-108.62
1512,-109.07
1513,-110.26
1514,-110.62
1515,-110.35
1516,-110.28
1517,-108.95
1518,-110.11
1519,-110.59
152,-38.552
1520,-110.52
1521,-109.46
1522,-110.39
1523,-110.16
1524,-108.87
1525,-110.55
1526,-108.6
1527,-108.79
1528,-109.21
1529,-109.52
153,-41.331
1530,-109.33
1531,-110.21
1532,-109.85
1533,-110.46
1534,-109.22
1535,-109.24
1536,-110.3
1537,-109.16
1538,-110.61
1539,-110.54
154,-38.424
1540,-110.46
1541,-109.52
1542,-109.93
1543,-109.13
1544,-108.54
1545,-108.62
1546,-108.61
1547,-110.44
1548,-109.96
1549,-110.29
155,-37.52
1550,-109.05
1551,-109.67
1552,-108.72
1553,-110.15
1554,-109.46
1555,-108.4
1556,-108.66
1557,-108.46
1558,-108.49
1559,-108.63
156,-38.373
1560,-110.65
1561,-109.95
1562,-109.21
1563,-110.54
1564,-109.51
1565,-109.26
1566,-110.34
1567,-110.17
1568,-108.73
1569,-108.78
157,-41.223
1570,-110.4
1571,-110.1
1572,-110.03
1573,-108.98
1574,-109.21
1575,-108.68
1576,-110.41
1577,-110.5
1578,-109.05
1579,-110.31
158,-38.549
1580,-110.8
1581,-108.6
1582,-108.42
1583,-110.65
1584,-110.24
1585,-108.62
1586,-109.09
1587,-110.3
1588,-108.75
1589,-108.92
159,-37.513
1590,-110.33
1591,-109.77
1592,-109.89
1593,-109.16
1594,-108.4
1595,-109.52
1596,-108.51
1597,-110.37
1598,-110.16
1599,-108.69
16,-37.339
160,-38.232
1600,-110.11
1601,-108.8
1602,-110.51
1603,-109.55
1604,-110.23
1605,-110.52
1606,-109.47
1607,-109.07
1608,-109.31
1609,-110.4
161,-40.909
1610,-108.49
1611,-109.6
1612,-110.06
1613,-108.59
1614,-109.26
1615,-108.78
1616,-109.14
1617,-108.52
1618,-110.17
1619,-109.29
162,-38.726
1620,-109.05
1621,-110.64
1622,-108.64
1623,-109.03
1624,-108.94
1625,-110.34
1626,-109.32
1627,-110.37
1628,-110.42
1629,-110.36
163,-37.552
1630,-110.05
1631,-108.76
1632,-108.65
1633,-109.68
1634,-110.73
1635,-108.33
1636,-109.83
1637,-108.68
1638,-108.78
1639,-108.87
164,-38.141
1640,-109.36
1641,-109.2
1642,-109.02
1643,-108.33
1644,-108.9
1645,-108.59
1646,-109.91
1647,-109.13
1648,-108.62
1649,-108.98
165,-40.651
1650,-110.24
1651,-110.19
1652,-108.6
1653,-108.79
1654,-110.28
1655,-110.4
1656,-109.07
1657,-110.48
1658,-110.4
1659,-110.43
166,-38.947
1660,-110.4
1661,-108.44
1662,-110.62
1663,-108.86
1664,-108.89
1665,-108.75
1666,-109.51
1667,-110.64
1668,-108.46
1669,-110.34
167,-37.637
1670,-108.63
1671,-109.4
1672,-109.48
1673,-109.75
1674,-109.83
1675,-109.54
1676,-110.17
1677,-109.35
1678,-110.66
1679,-110.38
168,-38.093
1680,-110.46
1681,-109.14
1682,-108.42
1683,-109.02
1684,-109
1685,-108.58
1686,-108.61
1687,-109.45
1688,-109.04
1689,-109.89
169,-40.443
1690,-109.8
1691,-109.72
1692,-108.5
1693,-110.23
1694,-108.8
1695,-110.28
1696,-110.46
1697,-110.25
1698,-110.8
1699,-109.95
17,-37.666
170,-39.211
1700,-110.43
1701,-108.66
1702,-108.58
1703,-108.66
1704,-109.95
1705,-110.3
1706,-109.72
1707,-109.22
1708,-109.98
1709,-108.84
171,-37.755
1710,-109.09
1711,-110.03
1712,-108.49
1713,-108.62
1714,-110.27
1715,-109.42
1716,-109.68
1717,-108.85
1718,-110.28
1719,-108.57
172,-38.076
1720,-109.7
1721,-110.19
1722,-109.21
1723,-110
1724,-108.96
1725,-110.02
1726,-110.77
1727,-109.17
1728,-109.42
1729,-110.75
173,-40.254
1730,-110.37
1731,-109.26
1732,-108.87
1733,-110.75
1734,-109.23
1735,-108.49
1736,-108.69
1737,-110.22
1738,-108.43
1739,-110.49
174,-39.492
1740,-110.8
1741,-109.34
1742,-110.56
1743,-108.55
1744,-109.26
1745,-108.92
1746,-109.68
1747,-109.27
1748,-108.61
1749,-110.38
175,-37.883
1750,-108.86
1751,-109.95
1752,-108.79
1753,-108.99
1754,-110.29
1755,-110.51
1756,-109.85
1757,-109.54
1758,-108.5
1759,-109.55
176,-38.062
1760,-110.75
1761,-108.45
1762,-108.57
1763,-110.12
1764,-109.37
1765,-110.22
1766,-110.23
1767,-108.53
1768,-109.1
1769,-110.22
177,-40.075
1770,-109.02
1771,-108.8
1772,-108.81
1773,-108.82
1774,-109.23
1775,-109.48
1776,-108.56
1777,-108.93
1778,-108.72
1779,-109.28
178,-39.767
1780,-108.78
1781,-109.7
1782,-109.47
1783,-108.58
1784,-109.11
1785,-108.54
1786,-109.83
1787,-108.74
1788,-109.24
1789,-110.03
179,-38
1790,-109.41
1791,-109.15
1792,-109.17
1793,-109.51
1794,-110.16
1795,-109.15
1796,-110.71
1797,-109.91
1798,-110.2
1799,-108.93
18,-39.85
180,-38.033
1800,-110.41
1801,-110.06
1802,-110.03
1803,-110.53
1804,-109.36
1805,-109.44
1806,-109.11
1807,-110.05
1808,-110.45
1809,-108.6
181,-39.877
1810,-109.17
1811,-109.12
1812,-108.88
1813,-110.01
1814,-108.54
1815,-108.64
1816,-108.94
1817,-108.72
1818,-108.98
1819,-108.6
182,-40.029
1820,-110.54
1821,-109.97
1822,-109.08
1823,-109.05
1824,-109.86
1825,-109.4
1826,-110.32
1827,-110.45
1828,-109.87
1829,-109.93
183,-38.092
1830,-108.65
1831,-109.5
1832,-110.62
1833,-109.96
1834,-109.08
1835,-109.08
1836,-108.51
1837,-110.57
1838,-110.7
1839,-109.27
184,-37.979
1840,-110.02
1841,-109.96
1842,-109.08
1843,-108.89
1844,-108.78
1845,-109.12
1846,-110.46
1847,-109.34
1848,-109.83
1849,-109.91
185,-39.662
1850,-108.66
1851,-110.01
1852,-108.93
1853,-110.17
1854,-108.76
1855,-110.75
1856,-110.37
1857,-108.81
1858,-109.79
1859,-109.67
186,-40.264
1860,-108.66
1861,-109.46
1862,-108.41
1863,-108.55
