P,f
-53.456,0.30307
-56.037,0.30356
-73.356,0.30405
-57.11,0.30454
-50.418,0.30503
-46.832,0.30551
-55.586,0.306
-56.796,0.30649
-47.844,0.30698
-51.762,0.30747
-49.728,0.30796
-49.768,0.30844
-54.214,0.30893
-43.188,0.30942
-42.267,0.30991
-48.538,0.3104
-53.963,0.31088
-54.883,0.31137
-54.104,0.31186
-51.316,0.31235
-47.436,0.31284
-48.627,0.31332
-51.974,0.31381
-47.48,0.3143
-43.131,0.31479
-44.487,0.31528
-54.717,0.31576
-55.514,0.31625
-47.491,0.31674
-45.772,0.31723
-47.116,0.31772
-45.936,0.3182
-45.97,0.31869
-39.23,0.31918
-27.604,0.31967
-29.085,0.32016
-43.073,0.32064
-49.461,0.32113
-49.462,0.32162
-55.851,0.32211
-63.332,0.3226
-51.999,0.32308
-52.739,0.32357
-53.878,0.32406
-48.337,0.32455
-49.543,0.32504
-50.652,0.32552
-45.949,0.32601
-45.771,0.3265
-52.662,0.32699
-51.685,0.32748
-50.568,0.32796
-49.643,0.32845
-48.658,0.32894
-45.286,0.32943
-44.954,0.32992
-48.096,0.33041
-55.612,0.33089
-50.019,0.33138
-51.672,0.33187
-49.782,0.33236
-51.015,0.33285
-52.893,0.33333
-50.614,0.33382
-48.495,0.33431
-50.08,0.3348
-53.356,0.33529
-49.099,0.33577
-52.888,0.33626
-53.198,0.33675
-53.911,0.33724
-66.113,0.33773
-57.894,0.33821
-51.819,0.3387
-43.857,0.33919
-45.445,0.33968
-59.48,0.34017
-51.408,0.34065
-48.197,0.34114
-57.8,0.34163
-50.267,0.34212
-48.053,0.34261
-51.724,0.34309
-49.046,0.34358
-62.818,0.34407
-56.745,0.34456
-53.103,0.34505
-49.162,0.34553
-55.373,0.34602
-51.8,0.34651
-47.276,0.347
-51.434,0.34749
-48.557,0.34797
-47.49,0.34846
-46.69,0.34895
-53.688,0.34944
-48.319,0.34993
-47.956,0.35041
-51.246,0.3509
-61.738,0.35139
-52.769,0.35188
-58.5,0.35237
-46.492,0.35286
-49.278,0.35334
-56.854,0.35383
-50.097,0.35432
-47.942,0.35481
-48.035,0.3553
-47.698,0.35578
-48.729,0.35627
-49.861,0.35676
-60.851,0.35725
-54.32,0.35774
-48.07,0.35822
-44.659,0.35871
-48.634,0.3592
-41.409,0.35969
-41.831,0.36018
-45.473,0.36066
-48.119,0.36115
-58.093,0.36164
-47.704,0.36213
-45.424,0.36262
-44.715,0.3631
-52.261,0.36359
-46.399,0.36408
-44.726,0.36457
-48.298,0.36506
-54.778,0.36554
-52.8,0.36603
-50.251,0.36652
-52.145,0.36701
-61.967,0.3675
-52.647,0.36798
-48.623,0.36847
-50.886,0.36896
-51.857,0.36945
-48.223,0.36994
-51.805,0.37042
-48.875,0.37091
-43.75,0.3714
-46.391,0.37189
-50.241,0.37238
-45.766,0.37286
-47.917,0.37335
-54.436,0.37384
-47.413,0.37433
-46.83,0.37482
-49.855,0.37531
-48.049,0.37579
-50.109,0.37628
-56.368,0.37677
-51.407,0.37726
-47.168,0.37775
-40.994,0.37823
-47.526,0.37872
-46.446,0.37921
-46.913,0.3797
-61.833,0.38019
-57.28,0.38067
-55.192,0.38116
-47.232,0.38165
-48.073,0.38214
-53.433,0.38263
-50.071,0.38311
-56.629,0.3836
-51.884,0.38409
-49.253,0.38458
-48.386,0.38507
-76.05,0.38555
-50.484,0.38604
-61.448,0.38653
-49.151,0.38702
-49.53,0.38751
-51.219,0.38799
-53.146,0.38848
-53.122,0.38897
-51.714,0.38946
-50.456,0.38995
-47.608,0.39043
-54.905,0.39092
-46.244,0.39141
-47.487,0.3919
-53.949,0.39239
-50.133,0.39287
-52.839,0.39336
-47.458,0.39385
-52.393,0.39434
-50.007,0.39483
-48.117,0.39531
-51.541,0.3958
-51.768,0.39629
-53.651,0.39678
-55.242,0.39727
-46.272,0.39776
-50.175,0.39824
-57.131,0.39873
-38.583,0.39922
-29.934,0.39971
-33.195,0.4002
-63.217,0.40068
-44.89,0.40117
-53.624,0.40166
-59.723,0.40215
-51.526,0.40264
-58.769,0.40312
-49.246,0.40361
-44.587,0.4041
-48.167,0.40459
-65.468,0.40508
-51.884,0.40556
-55.053,0.40605
-52.809,0.40654
-67.692,0.40703
-55.439,0.40752
-48.266,0.408
-50.427,0.40849
-46.876,0.40898
-45.852,0.40947
-49.581,0.40996
-56.773,0.41044
-56.318,0.41093
-60.579,0.41142
-51.737,0.41191
-45.869,0.4124
-46.065,0.41288
-46.117,0.41337
-48.922,0.41386
-58.35,0.41435
-58.9,0.41484
-62.106,0.41532
-58.353,0.41581
-49.108,0.4163
-51.727,0.41679
-58.738,0.41728
-51.767,0.41776
-45.923,0.41825
-49.019,0.41874
-54.829,0.41923
-51.385,0.41972
-54.587,0.4202
-53.439,0.42069
-49.084,0.42118
-48.311,0.42167
-49.267,0.42216
-51.319,0.42265
-43.839,0.42313
-50.875,0.42362
-60.969,0.42411
-57.795,0.4246
-54.638,0.42509
-49.532,0.42557
-52.287,0.42606
-52.901,0.42655
-56.312,0.42704
-53.701,0.42753
-52.234,0.42801
-49.122,0.4285
-67.831,0.42899
-50.219,0.42948
-56.724,0.42997
-54.461,0.43045
-48.577,0.43094
-48.996,0.43143
-52.712,0.43192
-52.748,0.43241
-61.638,0.43289
-61.545,0.43338
-56.732,0.43387
-54.336,0.43436
-57.605,0.43485
-58.125,0.43533
-56.883,0.43582
-49.501,0.43631
-48.742,0.4368
-49.568,0.43729
-58.601,0.43777
-53.387,0.43826
-49.825,0.43875
-41.746,0.43924
-32.899,0.43973
-37.627,0.44021
-64.683,0.4407
-56.969,0.44119
-50.315,0.44168
-50.378,0.44217
-50.432,0.44265
-49.987,0.44314
-49.187,0.44363
-49.447,0.44412
-53.523,0.44461
-50.833,0.4451
-46.864,0.44558
-66.012,0.44607
-46.672,0.44656
-48.251,0.44705
-52.41,0.44754
-56.918,0.44802
-50.164,0.44851
-48.986,0.449
-53.687,0.44949
-61.849,0.44998
-54.109,0.45046
-51.895,0.45095
-52.614,0.45144
-50.768,0.45193
-66.566,0.45242
-58.701,0.4529
-64.144,0.45339
-53.972,0.45388
-47.859,0.45437
-43.67,0.45486
-44.004,0.45534
-49.421,0.45583
-50.856,0.45632
-52.58,0.45681
-51.57,0.4573
-61.629,0.45778
-53.007,0.45827
-53.122,0.45876
-48.521,0.45925
-47.117,0.45974
-55.045,0.46022
-55.896,0.46071
-57.183,0.4612
-55.541,0.46169
-51.559,0.46218
-51.046,0.46266
-47.29,0.46315
-52.345,0.46364
-47.912,0.46413
-44.819,0.46462
-47.786,0.4651
-50.535,0.46559
-51.757,0.46608
-47.02,0.46657
-57.779,0.46706
-50.396,0.46755
-54.112,0.46803
-57.867,0.46852
-73.069,0.46901
-54.682,0.4695
-52.422,0.46999
-56.966,0.47047
-48.61,0.47096
-53.186,0.47145
-56.017,0.47194
-51.533,0.47243
-44.752,0.47291
-44.485,0.4734
-49.739,0.47389
-50.961,0.47438
-71.582,0.47487
-46.926,0.47535
-62.88,0.47584
-47.869,0.47633
-50.363,0.47682
-49.413,0.47731
-46.432,0.47779
-50.351,0.47828
-51.35,0.47877
-53.1,0.47926
-38.06,0.47975
-40.318,0.48023
-50.452,0.48072
-54.971,0.48121
-61.602,0.4817
-62.229,0.48219
-53.06,0.48267
-53.525,0.48316
-49.258,0.48365
-53.373,0.48414
-48.795,0.48463
-52.655,0.48511
-53.882,0.4856
-49.395,0.48609
-47.729,0.48658
-51.353,0.48707
-48.782,0.48755
-51.748,0.48804
-64.998,0.48853
-65.535,0.48902
-76.52,0.48951
-56.32,0.49
-55.795,0.49048
-53.116,0.49097
-50.091,0.49146
-49.066,0.49195
-48.835,0.49244
-56.822,0.49292
-58.067,0.49341
-48.454,0.4939
-45.723,0.49439
-55.752,0.49488
-55.361,0.49536
-53.917,0.49585
-55.552,0.49634
-51.52,0.49683
-47.558,0.49732
-49.498,0.4978
-52.011,0.49829
-53.656,0.49878
-48.024,0.49927
-48.802,0.49976
-54.193,0.50024
-52.662,0.50073
-50.416,0.50122
-53.417,0.50171
-52.801,0.5022
-47.673,0.50268
-43.77,0.50317
-44.331,0.50366
-47.047,0.50415
-46.468,0.50464
-52.023,0.50512
-60.672,0.50561
-57.131,0.5061
-51.553,0.50659
-50.539,0.50708
-51.588,0.50756
-49.801,0.50805
-44.73,0.50854
-43.095,0.50903
-50.03,0.50952
-49.723,0.51
-61.151,0.51049
-51.581,0.51098
-47.486,0.51147
-45.2,0.51196
-47.621,0.51245
-85.947,0.51293
-50.185,0.51342
-53.954,0.51391
-60.504,0.5144
-55.366,0.51489
-51.787,0.51537
-47.811,0.51586
-48.583,0.51635
-57.391,0.51684
-44.788,0.51733
-47.066,0.51781
-48.531,0.5183
-54.487,0.51879
-42.106,0.51928
-38.202,0.51977
-44.681,0.52025
-49.323,0.52074
-52.418,0.52123
-47.79,0.52172
-47.915,0.52221
-57.461,0.52269
-55.805,0.52318
-53.489,0.52367
-52.841,0.52416
-49.072,0.52465
-45.472,0.52513
-46.867,0.52562
-51.381,0.52611
-54.447,0.5266
-66.724,0.52709
-54.592,0.52757
-48.881,0.52806
-51.372,0.52855
-60.111,0.52904
-46.376,0.52953
-43.575,0.53001
-49.668,0.5305
-56.353,0.53099
-56.154,0.53148
-51.949,0.53197
-50.316,0.53245
-47.612,0.53294
-51.67,0.53343
-51.827,0.53392
-54.657,0.53441
-47.353,0.5349
-48.036,0.53538
-54.922,0.53587
-51.814,0.53636
-46.348,0.53685
-51.475,0.53734
-60.736,0.53782
-53.75,0.53831
-48.219,0.5388
-43.885,0.53929
-45.832,0.53978
-47.874,0.54026
-69.911,0.54075
-62.383,0.54124
-55.967,0.54173
-53.408,0.54222
-46.573,0.5427
-46.041,0.54319
-62.647,0.54368
-47.531,0.54417
-48.491,0.54466
-51.754,0.54514
-43.355,0.54563
-53.284,0.54612
-51.715,0.54661
-56.157,0.5471
-54.379,0.54758
-67.212,0.54807
-56.015,0.54856
-58.861,0.54905
-49.649,0.54954
-45.861,0.55002
-49.648,0.55051
-53.691,0.551
-49.699,0.55149
-49.84,0.55198
-49.451,0.55246
-54.425,0.55295
-62.206,0.55344
-62.418,0.55393
-51.785,0.55442
-48.358,0.5549
-45.789,0.55539
-45.803,0.55588
-47.34,0.55637
-51.105,0.55686
-60.7,0.55735
-56.7,0.55783
-63.245,0.55832
-58.035,0.55881
-49.564,0.5593
-44.75,0.55979
