P,f
-46.623,0.35578
-54.219,0.35627
-47.929,0.35676
-57.805,0.35725
-46.564,0.35774
-52.061,0.35822
-51.999,0.35871
-51.904,0.3592
-41.761,0.35969
-41.145,0.36018
-48.467,0.36066
-54.32,0.36115
-48.426,0.36164
-64.199,0.36213
-48.423,0.36262
-50.669,0.3631
-49.332,0.36359
-47.178,0.36408
-50.42,0.36457
-48.481,0.36506
-43.605,0.36554
-49.237,0.36603
-53.505,0.36652
-58.543,0.36701
-49.92,0.3675
-43.193,0.36798
-43.746,0.36847
-57.407,0.36896
-45.601,0.36945
-45.794,0.36994
-53.546,0.37042
-50.613,0.37091
-50.27,0.3714
-60.983,0.37189
-52.463,0.37238
-51.455,0.37286
-53.944,0.37335
-50.498,0.37384
-54.035,0.37433
-56.322,0.37482
-66.049,0.37531
-50.668,0.37579
-54.609,0.37628
-44.812,0.37677
-48.524,0.37726
-59.245,0.37775
-53.008,0.37823
-48.206,0.37872
-44.958,0.37921
-45.86,0.3797
-45.96,0.38019
-52.345,0.38067
-51.378,0.38116
-46.447,0.38165
-43.797,0.38214
-47.633,0.38263
-55.441,0.38311
-55.04,0.3836
-58.495,0.38409
-53.72,0.38458
-61.524,0.38507
-52.243,0.38555
-48.899,0.38604
-51.694,0.38653
-65.707,0.38702
-60.59,0.38751
-51.371,0.38799
-48.007,0.38848
-48.613,0.38897
-49.259,0.38946
-50.383,0.38995
-56.977,0.39043
-54.409,0.39092
-50.226,0.39141
-50.136,0.3919
-52.223,0.39239
-56.672,0.39287
-60.012,0.39336
-49.226,0.39385
-54.517,0.39434
-52.164,0.39483
-56.771,0.39531
-62.344,0.3958
-50.965,0.39629
-54.061,0.39678
-56.052,0.39727
-55.361,0.39776
-60.136,0.39824
-45.652,0.39873
-47.5,0.39922
-32.887,0.39971
-36.72,0.4002
-45.666,0.40068
-43.598,0.40117
-53.373,0.40166
-52.345,0.40215
-47.954,0.40264
-57.504,0.40312
-64.996,0.40361
-58.044,0.4041
-52.01,0.40459
-52.204,0.40508
-49.841,0.40556
-52.706,0.40605
-50.695,0.40654
-62.328,0.40703
-49.636,0.40752
-52.898,0.408
-57.256,0.40849
-46.507,0.40898
-51.81,0.40947
-47.666,0.40996
-48.23,0.41044
-55.734,0.41093
-69.66,0.41142
-48.937,0.41191
-46.753,0.4124
-50.17,0.41288
-50.224,0.41337
-46.807,0.41386
-52.363,0.41435
-49.239,0.41484
-46.375,0.41532
-48.517,0.41581
-56.096,0.4163
-59.891,0.41679
-48.133,0.41728
-48.418,0.41776
-55.318,0.41825
-54.296,0.41874
-50.8,0.41923
-56.893,0.41972
-54.152,0.4202
-56.04,0.42069
-62.843,0.42118
-50.232,0.42167
-51.703,0.42216
-47.196,0.42265
-44.331,0.42313
-51.57,0.42362
-55.425,0.42411
-48.986,0.4246
-48.894,0.42509
-50.708,0.42557
-52.779,0.42606
-47.332,0.42655
-49.02,0.42704
-65.631,0.42753
-59.633,0.42801
-53.667,0.4285
-49.208,0.42899
-53.86,0.42948
-61.218,0.42997
-73.503,0.43045
-52.748,0.43094
-59.974,0.43143
-50.063,0.43192
-50.212,0.43241
-46.908,0.43289
-48.453,0.43338
-48.495,0.43387
-51.886,0.43436
-62.542,0.43485
-58.213,0.43533
-46.328,0.43582
-46.575,0.43631
-60.113,0.4368
-53.312,0.43729
-55.911,0.43777
-55.285,0.43826
-60.683,0.43875
-43.357,0.43924
-33.539,0.43973
-36.249,0.44021
-48.54,0.4407
-60.117,0.44119
-50.792,0.44168
-50.725,0.44217
-48.854,0.44265
-48.703,0.44314
-45.241,0.44363
-46.553,0.44412
-46.417,0.44461
-45.881,0.4451
-45.154,0.44558
-47.166,0.44607
-50.175,0.44656
-58.511,0.44705
-51.33,0.44754
-51.725,0.44802
-57.706,0.44851
-52.042,0.449
-53.112,0.44949
-55.286,0.44998
-46.386,0.45046
-44.748,0.45095
-49.151,0.45144
-60.67,0.45193
-46.498,0.45242
-45.909,0.4529
-46.579,0.45339
-47.329,0.45388
-60.566,0.45437
-46.167,0.45486
-46.03,0.45534
-60.769,0.45583
-44.134,0.45632
-42.727,0.45681
-44.426,0.4573
-47.052,0.45778
-50.656,0.45827
-63.661,0.45876
-53.028,0.45925
-53.114,0.45974
-57.638,0.46022
-55.662,0.46071
-63.976,0.4612
-49.517,0.46169
-47.231,0.46218
-46.674,0.46266
-47.565,0.46315
-45.078,0.46364
-40.328,0.46413
-44.783,0.46462
-67.831,0.4651
-58.679,0.46559
-50.496,0.46608
-53.808,0.46657
-55.02,0.46706
-51.018,0.46755
-46.608,0.46803
-49.667,0.46852
-49.252,0.46901
-44.854,0.4695
-46.677,0.46999
-53.973,0.47047
-55.113,0.47096
-54.411,0.47145
-51.429,0.47194
-60.168,0.47243
-61.744,0.47291
-58,0.4734
-51.505,0.47389
-49.928,0.47438
-56.652,0.47487
-52.928,0.47535
-45.054,0.47584
-45.25,0.47633
-48.225,0.47682
-59.815,0.47731
-48.328,0.47779
-53.303,0.47828
-49.789,0.47877
-41.997,0.47926
-37.104,0.47975
-40.503,0.48023
-49.432,0.48072
-56.743,0.48121
-51.931,0.4817
-61.155,0.48219
-57.423,0.48267
-63.521,0.48316
-57.672,0.48365
-54.644,0.48414
-45.247,0.48463
-46.101,0.48511
-52.382,0.4856
-53.96,0.48609
-59.57,0.48658
-51.91,0.48707
-53.022,0.48755
-50.23,0.48804
-47.62,0.48853
-46.548,0.48902
-50.203,0.48951
-50.046,0.49
-53.746,0.49048
-44.521,0.49097
-47.9,0.49146
-53.113,0.49195
-42.315,0.49244
-44.276,0.49292
-54.636,0.49341
-53.501,0.4939
-47.489,0.49439
-48.444,0.49488
-53.265,0.49536
-59.674,0.49585
-55.652,0.49634
-58.505,0.49683
-56.096,0.49732
-61.556,0.4978
-52.928,0.49829
-51.636,0.49878
-50.352,0.49927
-56.852,0.49976
-58.744,0.50024
-48.414,0.50073
-44.837,0.50122
-47.271,0.50171
-50.533,0.5022
-50.725,0.50268
-51.618,0.50317
-49.765,0.50366
-48.832,0.50415
-50.383,0.50464
-52.487,0.50512
-50.431,0.50561
-56.093,0.5061
-54.054,0.50659
-48.776,0.50708
-47.216,0.50756
-48.933,0.50805
-49.707,0.50854
-54.647,0.50903
-46.09,0.50952
-43.215,0.51
-58.43,0.51049
-57.544,0.51098
-50.702,0.51147
-52.224,0.51196
-50.223,0.51245
-52.328,0.51293
-49.898,0.51342
-45.603,0.51391
-42.736,0.5144
-44.305,0.51489
-46.24,0.51537
-51.453,0.51586
-59.958,0.51635
-56.088,0.51684
-61.924,0.51733
-60.389,0.51781
-51.804,0.5183
-54.126,0.51879
-40.934,0.51928
-36.855,0.51977
-48.625,0.52025
-47.783,0.52074
-48.592,0.52123
-46.525,0.52172
-44.031,0.52221
-44.909,0.52269
-47.728,0.52318
-45.642,0.52367
-45.105,0.52416
-47.739,0.52465
-57.226,0.52513
-53.274,0.52562
-49.068,0.52611
-43.922,0.5266
-45.613,0.52709
-51.186,0.52757
-56.3,0.52806
-63.027,0.52855
-49.953,0.52904
-49.405,0.52953
-60.157,0.53001
-50.046,0.5305
-48.765,0.53099
-51.532,0.53148
-60.905,0.53197
-54.012,0.53245
-55.129,0.53294
-52.704,0.53343
-46.668,0.53392
-50.092,0.53441
-53.694,0.5349
-49.536,0.53538
-46.259,0.53587
-49.61,0.53636
-51.389,0.53685
-53.444,0.53734
-53.932,0.53782
-57.567,0.53831
-47.888,0.5388
-44.893,0.53929
-45.467,0.53978
-51.086,0.54026
-56.027,0.54075
-49.176,0.54124
-49.012,0.54173
-48.762,0.54222
-47.544,0.5427
-48.691,0.54319
-45.803,0.54368
-46.832,0.54417
-50.048,0.54466
-62.151,0.54514
-53.973,0.54563
-53.084,0.54612
-55.972,0.54661
-46.718,0.5471
-48.565,0.54758
-47.385,0.54807
-45.958,0.54856
-52.283,0.54905
-50.539,0.54954
-43.978,0.55002
-47.22,0.55051
-53.409,0.551
-54.283,0.55149
-50.878,0.55198
-48.542,0.55246
-52.257,0.55295
-50.102,0.55344
-51.099,0.55393
-57.676,0.55442
-59.354,0.5549
-52.093,0.55539
-51.169,0.55588
-50.753,0.55637
-51.968,0.55686
-62.953,0.55735
-59.421,0.55783
-58.758,0.55832
-50.395,0.55881
-45.627,0.5593
-43.964,0.55979
-42.559,0.56027
-46.46,0.56076
-51.894,0.56125
-50.144,0.56174
-52.256,0.56223
-55.021,0.56271
-55.497,0.5632
-53.112,0.56369
-55.73,0.56418
-59.768,0.56467
-55.426,0.56515
-52.009,0.56564
-51.458,0.56613
-50.024,0.56662
-56.542,0.56711
-54.914,0.56759
-46.523,0.56808
-47.321,0.56857
-64.482,0.56906
-50.349,0.56955
-48.389,0.57003
-43.876,0.57052
-42.648,0.57101
-46.195,0.5715
-53.114,0.57199
-53.571,0.57247
-50.109,0.57296
-47.16,0.57345
-45.601,0.57394
-49.002,0.57443
-42.028,0.57491
-42.892,0.5754
-54.06,0.57589
-57.511,0.57638
-50.311,0.57687
-52.417,0.57735
-56.224,0.57784
-54.751,0.57833
-51.347,0.57882
-47.796,0.57931
-49.548,0.5798
-60.589,0.58028
-52.325,0.58077
-48.527,0.58126
-45.144,0.58175
-46.074,0.58224
-47.202,0.58272
-54.642,0.58321
-45.343,0.5837
-48.89,0.58419
-50.282,0.58468
-43.997,0.58516
-43.301,0.58565
-49.959,0.58614
-47.012,0.58663
-46.244,0.58712
-47.858,0.5876
-47.796,0.58809
-47.653,0.58858
-49.293,0.58907
-50.816,0.58956
-52.013,0.59004
-52.924,0.59053
-45.294,0.59102
-44.478,0.59151
-62.84,0.592
-58.492,0.59248
-47.439,0.59297
-45.872,0.59346
-58.864,0.59395
-54.605,0.59444
-58.271,0.59492
-54.906,0.59541
-60.508,0.5959
-49.62,0.59639
-50.156,0.59688
-60.743,0.59736
-63.857,0.59785
-57.169,0.59834
-64.684,0.59883
-41.69,0.59932
-36.949,0.5998
-47.883,0.60029
-50.073,0.60078
-53.865,0.60127
-49.092,0.60176
-48.973,0.60224
-52.114,0.60273
-51.04,0.60322
-52.072,0.60371
-48.687,0.6042
-44.97,0.60469
-50.417,0.60517
-49.49,0.60566
-45.162,0.60615
-49.487,0.60664
-65.433,0.60713
-51.146,0.60761
-48.051,0.6081
-47.109,0.60859
-51.128,0.60908
-50.13,0.60957
-50.753,0.61005
-46.433,0.61054
-45.906,0.61103
-48.641,0.61152
-46.964,0.61201
-44.061,0.61249
-48.919,0.61298
-52.72,0.61347
-52.156,0.61396
-51.393,0.61445
-48.199,0.61493
-49.146,0.61542
-46.022,0.61591
-47.777,0.6164
-51.411,0.61689
-49.867,0.61737
-55.429,0.61786
-61.426,0.61835
-53.552,0.61884
-48.564,0.61933
-50.074,0.61981
-55.261,0.6203
-56.621,0.62079
-51.638,0.62128
