abs(js),abs(ml),w
0.0045465,0.0042222,2.6722
0.0043647,0.0043375,2.6753
0.0042177,0.0043749,2.6783
0.0044962,0.004422,2.6814
0.0043344,0.0039322,2.6845
0.00421,0.0043539,2.6875
0.0046088,0.0044769,2.6906
0.0045432,0.0044405,2.6937
0.0041854,0.004136,2.6967
0.0046478,0.0044198,2.6998
0.0037422,0.0041436,2.7029
0.0041976,0.0039404,2.7059
0.0040903,0.0039407,2.709
0.0043637,0.0045167,2.7121
0.0041686,0.0043953,2.7151
0.0042565,0.0040508,2.7182
0.0042998,0.0041899,2.7213
0.0043378,0.0041286,2.7243
0.0041715,0.0041879,2.7274
0.0039652,0.0041051,2.7305
0.0041052,0.0041983,2.7336
0.00443,0.0042626,2.7366
0.0040547,0.0042206,2.7397
0.0041326,0.00416,2.7428
0.0038923,0.0039478,2.7458
0.0041129,0.0040854,2.7489
0.0042104,0.0041079,2.752
