abs(H),F
0.00012302,7.32e+05
0.00024732,7.33e+05
0.00036704,7.34e+05
0.00047976,7.35e+05
0.00058318,7.36e+05
0.00067515,7.37e+05
0.0007537,7.38e+05
0.00081714,7.39e+05
0.00086402,7.4e+05
0.00089325,7.41e+05
0.00090405,7.42e+05
0.00089602,7.43e+05
0.00086915,7.44e+05
0.00082381,7.45e+05
0.00076078,7.46e+05
0.0006812,7.47e+05
0.00058663,7.48e+05
0.00047892,7.49e+05
0.0003603,7.5e+05
0.00023323,7.51e+05
0.00010044,7.52e+05
3.5158e-05,7.53e+05
0.00017054,7.54e+05
0.00030261,7.55e+05
0.00042826,7.56e+05
0.00054447,7.57e+05
0.00064835,7.58e+05
0.00073721,7.59e+05
0.00080865,7.6e+05
0.00086062,7.61e+05
0.00089148,7.62e+05
0.00090002,7.63e+05
0.00088559,7.64e+05
0.00084805,7.65e+05
0.00078786,7.66e+05
0.00070609,7.67e+05
0.0006044,7.68e+05
0.00048505,7.69e+05
0.00035089,7.7e+05
0.00020528,7.71e+05
5.2103e-05,7.72e+05
0.00010438,7.73e+05
0.00025956,7.74e+05
0.00040861,7.75e+05
0.00054659,7.76e+05
0.00066858,7.77e+05
0.00076983,7.78e+05
0.00084594,7.79e+05
0.00089298,7.8e+05
0.00090771,7.81e+05
0.00088777,7.82e+05
0.00083184,7.83e+05
0.00073986,7.84e+05
0.00061323,7.85e+05
0.00045498,7.86e+05
0.00026997,7.87e+05
6.5092e-05,7.88e+05
0.0001506,7.89e+05
0.00036571,7.9e+05
0.00056636,7.91e+05
0.0007361,7.92e+05
0.00085577,7.93e+05
0.00090348,7.94e+05
0.00085451,7.95e+05
0.00068136,7.96e+05
0.00035372,7.97e+05
0.00016144,7.98e+05
0.0008998,7.99e+05
0.0018996,8e+05
0.0032013,8.01e+05
0.0048477,8.02e+05
0.0068833,8.03e+05
0.0093546,8.04e+05
0.012309,8.05e+05
0.015795,8.06e+05
0.019862,8.07e+05
0.02456,8.08e+05
0.029937,8.09e+05
0.036043,8.1e+05
0.042924,8.11e+05
0.050627,8.12e+05
0.059195,8.13e+05
0.06867,8.14e+05
0.079088,8.15e+05
0.090486,8.16e+05
0.10289,8.17e+05
0.11633,8.18e+05
0.13083,8.19e+05
0.1464,8.2e+05
0.16305,8.21e+05
0.18078,8.22e+05
0.19959,8.23e+05
0.21946,8.24e+05
0.2404,8.25e+05
0.26236,8.26e+05
0.28531,8.27e+05
0.30922,8.28e+05
0.33405,8.29e+05
0.35973,8.3e+05
0.3862,8.31e+05
0.41341,8.32e+05
0.44127,8.33e+05
0.4697,8.34e+05
0.49861,8.35e+05
0.52792,8.36e+05
0.55753,8.37e+05
0.58733,8.38e+05
0.61723,8.39e+05
0.6471,8.4e+05
0.67685,8.41e+05
0.70636,8.42e+05
0.73551,8.43e+05
0.7642,8.44e+05
0.79232,8.45e+05
0.81975,8.46e+05
0.84638,8.47e+05
0.87212,8.48e+05
0.89686,8.49e+05
0.92051,8.5e+05
0.94299,8.51e+05
0.9642,8.52e+05
0.98407,8.53e+05
1.0025,8.54e+05
1.0196,8.55e+05
1.0351,8.56e+05
1.049,8.57e+05
1.0614,8.58e+05
1.0722,8.59e+05
1.0813,8.6e+05
1.0889,8.61e+05
1.0948,8.62e+05
1.0992,8.63e+05
1.1021,8.64e+05
1.1034,8.65e+05
1.1033,8.66e+05
1.1018,8.67e+05
1.099,8.68e+05
1.095,8.69e+05
1.0898,8.7e+05
1.0835,8.71e+05
1.0763,8.72e+05
1.0683,8.73e+05
1.0595,8.74e+05
1.0501,8.75e+05
1.0401,8.76e+05
1.0298,8.77e+05
1.0192,8.78e+05
1.0084,8.79e+05
0.99758,8.8e+05
0.98685,8.81e+05
0.9763,8.82e+05
0.96605,8.83e+05
0.95619,8.84e+05
0.94684,8.85e+05
0.93807,8.86e+05
0.92997,8.87e+05
0.92262,8.88e+05
0.91608,8.89e+05
