abs(H),F
0.00036643,4.87e+05
0.00030261,4.88e+05
0.00023719,4.89e+05
0.00017054,4.9e+05
0.00010307,4.91e+05
3.5158e-05,4.92e+05
3.2807e-05,4.93e+05
0.00010044,4.94e+05
0.00016737,4.95e+05
0.00023323,4.96e+05
0.00029765,4.97e+05
0.0003603,4.98e+05
0.00042083,4.99e+05
0.00047892,5e+05
0.00053429,5.01e+05
0.00058663,5.02e+05
0.00063568,5.03e+05
0.0006812,5.04e+05
0.00072297,5.05e+05
0.00076078,5.06e+05
0.00079444,5.07e+05
0.00082381,5.08e+05
0.00084875,5.09e+05
0.00086915,5.1e+05
0.00088492,5.11e+05
0.00089602,5.12e+05
0.0009024,5.13e+05
0.00090405,5.14e+05
0.00090099,5.15e+05
0.00089325,5.16e+05
0.0008809,5.17e+05
0.00086402,5.18e+05
0.00084273,5.19e+05
0.00081714,5.2e+05
0.00078741,5.21e+05
0.0007537,5.22e+05
0.00071621,5.23e+05
0.00067515,5.24e+05
0.00063073,5.25e+05
0.00058318,5.26e+05
0.00053277,5.27e+05
0.00047976,5.28e+05
0.00042442,5.29e+05
0.00036704,5.3e+05
0.0003079,5.31e+05
0.00024732,5.32e+05
0.00018559,5.33e+05
0.00012302,5.34e+05
5.993e-05,5.35e+05
3.3751e-06,5.36e+05
6.6582e-05,5.37e+05
0.00012938,5.38e+05
0.00019147,5.39e+05
0.00025255,5.4e+05
0.00031232,5.41e+05
0.0003705,5.42e+05
0.00042682,5.43e+05
0.000481,5.44e+05
0.0005328,5.45e+05
0.00058197,5.46e+05
0.00062828,5.47e+05
0.00067152,5.48e+05
0.0007115,5.49e+05
0.00074803,5.5e+05
0.00078095,5.51e+05
0.00081011,5.52e+05
0.00083539,5.53e+05
0.00085667,5.54e+05
0.00087387,5.55e+05
0.00088692,5.56e+05
0.00089577,5.57e+05
0.00090038,5.58e+05
0.00090075,5.59e+05
0.00089689,5.6e+05
0.00088882,5.61e+05
0.0008766,5.62e+05
0.00086029,5.63e+05
0.00083998,5.64e+05
0.00081577,5.65e+05
0.00078778,5.66e+05
0.00075616,5.67e+05
0.00072106,5.68e+05
0.00068264,5.69e+05
0.0006411,5.7e+05
0.00059663,5.71e+05
0.00054945,5.72e+05
0.00049977,5.73e+05
0.00044783,5.74e+05
0.00039387,5.75e+05
0.00033815,5.76e+05
0.00028092,5.77e+05
0.00022244,5.78e+05
0.00016299,5.79e+05
0.00010283,5.8e+05
4.2249e-05,5.81e+05
1.8487e-05,5.82e+05
7.9101e-05,5.83e+05
0.00013932,5.84e+05
0.00019887,5.85e+05
0.00025749,5.86e+05
0.0003149,5.87e+05
0.00037087,5.88e+05
0.00042513,5.89e+05
0.00047746,5.9e+05
0.0005276,5.91e+05
0.00057536,5.92e+05
0.00062051,5.93e+05
0.00066287,5.94e+05
0.00070223,5.95e+05
0.00073845,5.96e+05
0.00077135,5.97e+05
0.00080081,5.98e+05
0.00082669,5.99e+05
0.00084889,6e+05
0.0008673,6.01e+05
0.00088187,6.02e+05
0.00089253,6.03e+05
0.00089924,6.04e+05
0.00090197,6.05e+05
0.00090073,6.06e+05
0.00089552,6.07e+05
0.00088637,6.08e+05
