f,s100,s410,s700
394,-99.161,-110.16,-137.79
395,-99.22,-110.18,-149.44
396,-99.132,-109.99,-143.4
397,-99.155,-110.17,-144.06
398,-99.144,-110.05,-148.03
399,-99.154,-110.09,-138.58
400,-99.135,-110.11,-141.65
401,-99.043,-109.9,-143.09
402,-99.122,-110.17,-154.74
403,-99.036,-109.9,-155.24
404,-99.188,-110.07,-150.13
405,-99.056,-109.86,-143.56
406,-99.029,-109.99,-150.33
407,-99.027,-110.06,-154.1
408,-99.053,-110.12,-141.19
409,-99.019,-110.13,-145.31
410,-99.019,-110.09,-141.83
411,-98.987,-110.22,-151.94
412,-98.99,-110.05,-154.3
413,-99.034,-110.05,-144.47
414,-99.006,-110.24,-148.58
415,-98.957,-110,-148.62
416,-98.987,-109.89,-160.19
417,-98.896,-110.21,-149.02
418,-98.917,-110.02,-141.17
419,-99.001,-110.21,-145.76
420,-98.924,-110.01,-140.29
421,-98.951,-110,-147.59
422,-98.939,-109.99,-164.38
423,-98.917,-109.96,-145.23
424,-98.877,-110.2,-143.68
425,-98.832,-110.14,-148.9
426,-98.888,-110.17,-145.86
427,-98.858,-110.29,-153.22
428,-98.83,-110.25,-152.11
429,-98.758,-110.05,-152.13
430,-98.811,-110.07,-154.1
431,-98.846,-110.17,-142.44
432,-98.76,-110.02,-143.46
433,-98.799,-110.06,-141.32
434,-98.784,-109.91,-139.65
435,-98.76,-110.19,-147.27
436,-98.768,-109.94,-150.41
437,-98.718,-110.08,-147.75
438,-98.753,-109.94,-144.17
439,-98.739,-109.94,-151.28
440,-98.728,-109.94,-144.42
441,-98.737,-110.12,-144.74
442,-98.702,-110.03,-145.73
443,-98.717,-110.13,-146.64
444,-98.652,-110.03,-145.8
445,-98.597,-109.97,-147.65
446,-98.656,-110.11,-139.81
447,-98.673,-110.02,-148.35
448,-98.606,-110.03,-150.91
449,-98.585,-109.98,-151.35
450,-98.612,-110.3,-143.6
451,-98.582,-110.1,-144.53
452,-98.566,-109.89,-154.38
453,-98.568,-110.14,-142.17
454,-98.493,-110.21,-143.06
455,-98.573,-110.21,-151.82
456,-98.526,-110.06,-147.96
457,-98.544,-110.09,-145.48
458,-98.491,-109.93,-152.53
459,-98.536,-110.07,-141.4
460,-98.526,-110.16,-152.35
461,-98.485,-109.91,-150.59
462,-98.418,-110.09,-144.05
463,-98.423,-110.03,-148.6
464,-98.484,-109.92,-152.64
465,-98.375,-109.94,-148.5
466,-98.461,-109.98,-148.73
467,-98.389,-110.06,-144.01
468,-98.448,-110.01,-140.55
469,-98.361,-110.12,-138.67
470,-98.365,-109.87,-145.6
471,-98.343,-109.97,-143.95
472,-98.413,-110.02,-153.1
473,-98.287,-110.16,-147.8
474,-98.302,-109.91,-153.21
475,-98.293,-110.12,-157.2
476,-98.338,-110.13,-151.36
477,-98.25,-109.91,-147.41
478,-98.291,-109.97,-144.43
479,-98.169,-109.9,-139.11
480,-98.301,-110.02,-142.05
481,-98.236,-110.12,-148.25
482,-98.263,-109.99,-143.22
483,-98.155,-110,-141.04
484,-98.263,-109.89,-153.9
485,-98.201,-109.96,-141.83
486,-98.191,-110.04,-147.41
487,-98.199,-110.28,-166.72
488,-98.188,-110.07,-140.87
489,-98.171,-110,-145.67
490,-98.096,-110.03,-143.07
491,-98.107,-110.1,-148.17
492,-98.106,-110.05,-140.31
493,-98.079,-110.08,-150.64
494,-98.095,-110.01,-145.69
495,-98.023,-110.15,-146.94
496,-98.034,-110.12,-161.11
497,-98.046,-109.95,-140.48
498,-97.987,-110.03,-151.1
499,-97.956,-110.06,-146.83
500,-98.04,-110.07,-147.74
501,-97.969,-109.86,-150.42
502,-97.938,-110.09,-146.6
503,-98.005,-110,-148.73
504,-97.984,-109.94,-149.51
505,-97.978,-110.14,-145.76
506,-97.921,-109.8,-148.42
507,-97.892,-109.94,-144.2
508,-97.902,-110.06,-144.89
509,-97.903,-110.03,-141.91
510,-97.882,-110.09,-161.51
511,-97.848,-109.77,-152.31
512,-97.821,-110.03,-144.97
513,-97.777,-110.04,-142.79
514,-97.794,-109.93,-158.37
515,-97.823,-110.05,-145.53
516,-97.827,-110.09,-149.69
517,-97.804,-110.14,-149.2
518,-97.742,-110,-148.68
519,-97.701,-110.05,-146.24
520,-97.731,-109.89,-155.44
521,-97.755,-109.93,-146.67
522,-97.701,-109.93,-146.26
523,-97.694,-109.81,-142.2
524,-97.675,-109.86,-141.01
525,-97.699,-109.93,-148.48
526,-97.614,-109.9,-150.07
527,-97.642,-109.93,-162.83
528,-97.634,-110.1,-145.73
529,-97.598,-110.02,-142.16
530,-97.606,-109.83,-141.58
531,-97.58,-110.05,-150.69
532,-97.589,-109.83,-152.62
533,-97.519,-110.06,-138.57
534,-97.537,-110.11,-144.26
535,-97.495,-109.98,-152.31
536,-97.526,-109.85,-149.08
537,-97.519,-109.93,-142.84
538,-97.476,-110,-152.27
539,-97.488,-109.95,-147.31
540,-97.453,-109.92,-146.64
541,-97.377,-109.91,-143.84
542,-97.463,-109.93,-143.24
543,-97.415,-110.31,-153.01
544,-97.397,-110.24,-147.62
545,-97.404,-110.13,-140.8
546,-97.374,-109.97,-153.14
547,-97.336,-109.98,-153.74
548,-97.355,-109.92,-146.56
549,-97.297,-109.88,-140.26
550,-97.293,-110.03,-143.26
551,-97.265,-109.75,-147.2
552,-97.273,-110.06,-145.73
553,-97.212,-110.02,-140.47
554,-97.2,-109.93,-146.59
555,-97.23,-109.83,-146.25
556,-97.235,-109.69,-146.58
557,-97.149,-109.95,-146.76
558,-97.174,-110.11,-162.13
559,-97.204,-110.16,-145.16
560,-97.143,-109.98,-148.99
561,-97.114,-110.14,-137.65
562,-97.103,-110,-157.31
563,-97.085,-110.08,-156.27
564,-97.075,-109.93,-161.69
565,-97.056,-110,-160.5
566,-97.077,-110.06,-145.95
567,-97.022,-109.82,-143.97
568,-97.064,-110.1,-144.49
569,-96.957,-109.88,-144.54
570,-97.022,-109.91,-140.26
571,-96.948,-109.89,-142.57
572,-96.99,-109.97,-150.15
573,-96.934,-110.16,-142.55
574,-96.922,-110.01,-158.86
575,-96.901,-110.02,-143.92
576,-96.88,-109.94,-148.68
577,-96.869,-109.99,-155.14
578,-96.819,-110.01,-143.44
579,-96.834,-110.08,-139
580,-96.794,-109.92,-141.83
581,-96.812,-109.99,-147.89
582,-96.789,-110.16,-148.5
583,-96.815,-109.85,-154.94
584,-96.783,-109.93,-141.25
585,-96.729,-109.9,-141.88
586,-96.745,-109.84,-143.84
587,-96.693,-109.95,-145.69
588,-96.658,-109.69,-147.31
589,-96.677,-109.87,-148.36
590,-96.667,-110.12,-159.18
591,-96.634,-109.94,-144.06
592,-96.604,-109.82,-144.25
593,-96.622,-110.2,-149.2
594,-96.562,-109.96,-144.26
595,-96.555,-109.88,-149.76
596,-96.561,-110.01,-146.91
597,-96.539,-109.97,-151.87
598,-96.541,-109.98,-142.18
599,-96.549,-110.03,-146.82
600,-96.445,-109.97,-151.59
601,-96.46,-110.04,-144.57
602,-96.43,-109.95,-151.99
603,-96.425,-109.93,-148.66
604,-96.414,-110.07,-146.53
605,-96.434,-110,-143.52
606,-96.389,-109.96,-144.97
607,-96.358,-109.83,-148.5
608,-96.317,-109.98,-169.03
609,-96.339,-109.76,-145.44
610,-96.294,-109.89,-145.5
611,-96.278,-109.97,-145.56
612,-96.317,-110,-141.89
613,-96.213,-109.84,-147.29
614,-96.254,-110.09,-146
615,-96.167,-109.82,-154.34
616,-96.194,-109.73,-142.53
617,-96.163,-109.9,-146.75
618,-96.161,-109.96,-151.05
619,-96.127,-109.83,-141.38
620,-96.092,-109.95,-150.43
621,-96.133,-109.94,-146.5
622,-96.116,-109.69,-156.68
623,-96.044,-110.1,-153.45
624,-96.062,-109.81,-148.26
625,-96.064,-109.76,-146.18
626,-95.985,-109.89,-142.55
627,-95.969,-109.85,-154.35
628,-95.993,-109.69,-144.55
629,-95.936,-109.84,-147.4
630,-95.952,-110.03,-153.36
631,-95.908,-109.84,-141.34
632,-95.897,-110.05,-141.66
633,-95.861,-110.03,-152.36
634,-95.851,-109.87,-146.61
635,-95.817,-109.85,-144.76
636,-95.806,-109.98,-145.91
637,-95.836,-110.03,-149.81
638,-95.777,-109.85,-152.1
639,-95.766,-109.85,-158.43
640,-95.721,-110,-163.18
641,-95.703,-109.9,-150.71
642,-95.676,-109.82,-152.63
643,-95.675,-109.99,-145.96
644,-95.649,-110.01,-146.97
645,-95.599,-109.9,-139.86
646,-95.593,-109.93,-138.86
647,-95.611,-109.87,-149.58
648,-95.554,-109.96,-141.3
649,-95.577,-109.89,-145.72
650,-95.55,-109.82,-144.59
651,-95.514,-109.82,-143.42
652,-95.446,-109.83,-145.59
653,-95.444,-110,-144.66
654,-95.443,-109.82,-147.26
655,-95.405,-110.07,-144.44
656,-95.415,-109.71,-140.89
657,-95.362,-109.97,-147.4
658,-95.336,-109.9,-146.33
659,-95.322,-110,-151.84
660,-95.306,-109.94,-147.51
661,-95.279,-109.78,-144.85
662,-95.232,-109.96,-145.49
663,-95.238,-109.92,-146.05
664,-95.222,-109.99,-146.33
665,-95.209,-109.76,-147.31
666,-95.195,-110.05,-149.92
667,-95.172,-109.84,-148.9
668,-95.128,-109.78,-141.93
669,-95.149,-109.97,-151.81
670,-95.107,-109.94,-155.13
671,-95.089,-109.85,-170.58
672,-95.045,-109.96,-142.67
673,-95.02,-109.93,-146.47
674,-94.973,-110.04,-145.59
675,-95.005,-109.88,-144.13
676,-94.966,-109.81,-153.39
677,-94.957,-109.95,-147.01
678,-94.925,-109.94,-147.79
679,-94.894,-109.87,-156.41
680,-94.907,-109.99,-141
681,-94.843,-109.87,-148.7
682,-94.863,-109.84,-148.12
683,-94.756,-109.85,-139.82
684,-94.769,-109.92,-141.8
685,-94.764,-109.9,-151.39
686,-94.703,-109.87,-143.57
687,-94.67,-109.81,-143.35
688,-94.697,-109.94,-143.76
689,-94.699,-109.86,-148.34
690,-94.635,-109.97,-143.99
691,-94.619,-109.9,-163.97
692,-94.586,-109.99,-142.88
693,-94.551,-109.71,-149.02
694,-94.528,-109.87,-144.8
695,-94.509,-109.72,-147.69
696,-94.527,-110.05,-142.65
697,-94.463,-109.76,-144.1
698,-94.461,-109.78,-147.43
699,-94.383,-109.82,-147.67
700,-94.372,-109.88,-141.61
701,-94.397,-109.92,-143.08
702,-94.362,-109.82,-143.04
703,-94.331,-109.92,-141
704,-94.276,-109.74,-143.64
705,-94.286,-109.76,-141.35
706,-94.28,-109.98,-149.22
707,-94.237,-109.89,-145
708,-94.213,-110,-152.06
709,-94.197,-109.86,-146.65
710,-94.125,-109.91,-143.39
711,-94.139,-109.74,-148.9
712,-94.095,-109.93,-146.29
713,-94.088,-109.8,-171.79
714,-94.078,-109.8,-142.02
715,-94.031,-109.86,-144.51
716,-94.014,-109.95,-143.44
717,-93.97,-109.77,-148.03
718,-93.919,-109.79,-142.34
719,-93.879,-109.86,-156.22
720,-93.899,-109.9,-151.07
721,-93.866,-109.76,-140.91
722,-93.842,-109.81,-140.31
723,-93.857,-109.92,-139.26
724,-93.787,-109.82,-152.53
725,-93.763,-109.81,-145.85
726,-93.744,-109.91,-143.77
727,-93.697,-110.02,-142.18
728,-93.683,-109.93,-142.04
729,-93.672,-109.85,-145.38
730,-93.638,-109.91,-150.75
731,-93.604,-109.91,-146.56
732,-93.547,-109.85,-150.29
733,-93.57,-109.92,-145.9
734,-93.512,-109.67,-148.94
735,-93.454,-109.84,-147.76
736,-93.441,-109.7,-141.43
737,-93.422,-109.81,-148.89
738,-93.402,-109.91,-137.87
739,-93.357,-109.68,-153.45
740,-93.354,-109.77,-145.38
741,-93.321,-109.81,-154.71
742,-93.284,-109.8,-151.26
743,-93.272,-109.68,-148.87
744,-93.258,-109.63,-142.26
745,-93.199,-109.85,-153.46
746,-93.178,-109.86,-144.99
747,-93.122,-109.87,-147.44
748,-93.118,-109.71,-144.62
749,-93.12,-109.9,-144.38
750,-93.064,-109.73,-142.8
751,-93.062,-109.66,-150.56
752,-93.005,-109.75,-142.6
753,-92.961,-109.67,-156.02
754,-92.935,-109.82,-138.81
755,-92.872,-109.77,-142.25
756,-92.899,-109.6,-143.49
757,-92.876,-109.72,-137.98
758,-92.798,-109.91,-148.17
759,-92.796,-109.89,-148.59
760,-92.742,-109.72,-142.94
761,-92.713,-109.81,-149.91
762,-92.708,-110.04,-149.66
763,-92.676,-109.78,-152.98
764,-92.605,-109.71,-144.27
765,-92.594,-109.8,-157.35
766,-92.59,-109.72,-168.57
767,-92.569,-109.66,-148.14
768,-92.471,-109.76,-143.02
769,-92.455,-109.9,-161.34
770,-92.432,-109.73,-147.89
771,-92.391,-109.97,-148.04
772,-92.375,-109.6,-154.73
773,-92.329,-109.62,-158.98
774,-92.308,-109.8,-149.98
775,-92.258,-109.84,-147.56
776,-92.222,-109.66,-143.54
777,-92.227,-109.83,-146.72
778,-92.168,-109.9,-144.88
779,-92.107,-109.82,-140.72
780,-92.092,-109.78,-142.87
781,-92.064,-109.86,-143.24
782,-92.058,-109.73,-157.35
783,-92.033,-109.82,-150.14
784,-91.988,-109.83,-147.34
785,-91.949,-109.77,-141.9
786,-91.894,-109.65,-148.95
787,-91.883,-109.76,-143.68
788,-91.841,-109.75,-152.65
789,-91.8,-109.7,-143.28
790,-91.769,-109.72,-147.2
791,-91.744,-109.74,-150.39
792,-91.675,-109.73,-151.57
793,-91.657,-109.69,-138.74
794,-91.649,-109.96,-143.36
795,-91.554,-109.9,-143.37
796,-91.501,-109.85,-146.86
797,-91.507,-109.96,-141.69
798,-91.468,-109.66,-139.59
799,-91.428,-109.72,-151.87
800,-91.407,-109.67,-149.4
801,-91.367,-109.61,-151.2
802,-91.328,-109.88,-159.74
803,-91.28,-109.55,-147.75
804,-91.231,-109.77,-149.51
805,-91.207,-109.73,-143.21
806,-91.17,-109.76,-150.02
807,-91.139,-109.81,-151.68
808,-91.082,-109.61,-142.05
809,-91.056,-109.85,-147.04
810,-91.031,-109.72,-139.09
811,-90.968,-109.83,-144.5
812,-90.944,-109.76,-146.75
813,-90.9,-109.81,-149.11
814,-90.878,-109.89,-142.71
815,-90.831,-109.9,-149.9
816,-90.769,-109.81,-143.49
817,-90.728,-109.71,-139.82
818,-90.701,-109.64,-165.48
819,-90.667,-109.67,-141.94
820,-90.631,-109.62,-142.99
821,-90.565,-109.91,-143.49
822,-90.52,-109.81,-151.69
823,-90.505,-109.79,-149.48
824,-90.471,-109.61,-146.5
