f,xrms,xmean,xsnr
1221,0.018084,-0.01808,16.542
1222,0.018058,-0.018055,14.765
1223,0.018063,-0.018061,11.937
1224,0.01805,-0.018049,7.9764
1225,0.018058,-0.018057,0.38913
1226,0.018079,-0.018079,-4.0048
1227,0.01807,-0.018069,5.5978
1228,0.018075,-0.018074,11.419
1229,0.018017,-0.018014,14.097
123,0.61584,-0.018044,80.049
1230,0.018087,-0.018084,15.293
1231,0.018082,-0.018076,16.703
1232,0.018103,-0.018096,18.259
1233,0.018136,-0.018128,18.772
1234,0.018097,-0.018089,19.579
1235,0.018123,-0.018115,18.635
1236,0.018118,-0.01811,19.345
1237,0.018093,-0.018086,18.343
1238,0.018071,-0.018065,17.966
1239,0.01805,-0.018045,16.535
124,0.61611,-0.018133,79.734
1240,0.018071,-0.018067,15.578
1241,0.018058,-0.018056,11.806
1242,0.017996,-0.017995,10.234
1243,0.018047,-0.018046,5.4757
1244,0.018064,-0.018064,-4.6369
1245,0.018053,-0.018052,1.4447
1246,0.018054,-0.018054,8.6065
1247,0.018046,-0.018045,11.721
1248,0.018065,-0.018062,15.238
1249,0.018059,-0.018054,16.393
125,0.6163,-0.01802,80.127
1250,0.018025,-0.018019,17.33
1251,0.017983,-0.017976,18.797
1252,0.01805,-0.018042,17.915
1253,0.018037,-0.018029,19.604
1254,0.018035,-0.018027,19.278
1255,0.018027,-0.018019,19.806
1256,0.01808,-0.018072,18.631
1257,0.018062,-0.018055,17.761
1258,0.01808,-0.018075,16.76
1259,0.018109,-0.018106,15.98
126,0.61638,-0.017913,79.496
1260,0.018084,-0.018082,14.024
1261,0.018069,-0.018067,9.8761
1262,0.01808,-0.01808,6.0695
1263,0.018079,-0.018079,-5.2337
1264,0.01806,-0.01806,1.2735
1265,0.01804,-0.018039,8.1175
1266,0.018037,-0.018035,11.577
1267,0.018074,-0.018071,14.512
1268,0.018082,-0.018078,15.585
1269,0.018028,-0.018023,18.142
127,0.61641,-0.017959,80.397
1270,0.018109,-0.018102,18.028
1271,0.018088,-0.01808,19.464
1272,0.01809,-0.018082,19.198
1273,0.018056,-0.018047,18.208
1274,0.018102,-0.018094,19.028
1275,0.018076,-0.018069,19.566
1276,0.01809,-0.018083,17.608
1277,0.018095,-0.01809,17.232
1278,0.018064,-0.01806,15.328
1279,0.018071,-0.018068,13.621
128,0.61648,-0.018069,79.508
1280,0.018095,-0.018093,11.311
1281,0.018043,-0.018042,6.3157
1282,0.018044,-0.018044,-4.4552
1283,0.018086,-0.018086,-0.71914
1284,0.018096,-0.018095,8.1112
1285,0.018092,-0.018091,12.025
1286,0.018087,-0.018084,14.778
1287,0.018092,-0.018088,15.977
1288,0.018064,-0.018059,17.303
1289,0.018081,-0.018074,18.195
129,0.6164,-0.018043,80.131
1290,0.018117,-0.01811,18.814
1291,0.018096,-0.018088,19.551
1292,0.018111,-0.018103,18.759
1293,0.018076,-0.018068,19.095
1294,0.0181,-0.018093,17.476
1295,0.018058,-0.018052,17.708
1296,0.018086,-0.018081,16.632
1297,0.018027,-0.018023,15.854
1298,0.018073,-0.018071,13.556
1299,0.018096,-0.018094,10.418
13,0.61211,-0.016075,78.193
130,0.61637,-0.017904,79.877
1300,0.018086,-0.018085,5.1669
1301,0.018068,-0.018068,-3.3376
1302,0.018083,-0.018083,2.055
1303,0.018105,-0.018104,7.8862
1304,0.018057,-0.018055,13.52
1305,0.018045,-0.018041,14.823
1306,0.018056,-0.018051,17.262
1307,0.018089,-0.018082,18.262
1308,0.018065,-0.018057,18.703
1309,0.018093,-0.018084,20.087
131,0.61639,-0.017816,79.529
1310,0.018106,-0.018096,20.318
1311,0.018095,-0.018085,19.779
1312,0.01807,-0.01806,18.356
1313,0.0181,-0.01809,20.486
1314,0.018087,-0.018079,18.868
1315,0.018076,-0.018069,18.187
1316,0.018044,-0.018039,16.893
1317,0.018083,-0.018079,15.115
1318,0.018064,-0.018062,12.169
1319,0.018088,-0.018087,10.112
132,0.61633,-0.018182,79.737
1320,0.01806,-0.018059,3.9128
1321,0.018058,-0.018058,-2.969
1322,0.018001,-0.018001,3.7411
1323,0.018089,-0.018088,9.5882
1324,0.018082,-0.01808,12.472
1325,0.018066,-0.018062,15.358
1326,0.018076,-0.018071,16.121
1327,0.018089,-0.018083,17.077
1328,0.018031,-0.018024,17.406
1329,0.018017,-0.018009,19.204
133,0.61634,-0.018004,79.304
1330,0.018056,-0.018048,19.194
1331,0.018102,-0.018094,19.87
1332,0.018082,-0.018074,18.8
1333,0.018079,-0.018072,18.947
1334,0.018106,-0.0181,16.691
1335,0.018096,-0.018091,15.965
1336,0.018061,-0.018058,14.251
1337,0.018098,-0.018096,12.749
1338,0.018137,-0.018136,9.0115
1339,0.01809,-0.01809,3.7718
134,0.61631,-0.017942,69.427
1340,0.018107,-0.018107,-6.0715
1341,0.018042,-0.018041,3.591
1342,0.018051,-0.01805,9.7169
1343,0.017989,-0.017986,12.537
1344,0.018033,-0.01803,15.477
1345,0.018068,-0.018063,16.272
1346,0.018092,-0.018087,18.203
1347,0.018081,-0.018074,18.853
1348,0.018069,-0.018061,19.846
1349,0.018064,-0.018056,19.299
135,0.61635,-0.018041,73.621
1350,0.018068,-0.01806,19.653
1351,0.01807,-0.018062,18.662
1352,0.018049,-0.018042,18.888
1353,0.01807,-0.018064,17.153
1354,0.01805,-0.018046,15.777
1355,0.018023,-0.01802,14.795
1356,0.018056,-0.018055,12.575
1357,0.018046,-0.018045,8.7427
1358,0.017998,-0.017997,1.1426
1359,0.01804,-0.018039,-3.5094
136,0.61649,-0.018179,77.359
1360,0.018051,-0.018051,5.0147
1361,0.018065,-0.018064,10.29
1362,0.018052,-0.01805,13.401
1363,0.018106,-0.018102,15.609
1364,0.018068,-0.018063,17.122
1365,0.018075,-0.018069,18.373
1366,0.018083,-0.018075,18.962
1367,0.018109,-0.018101,19.716
1368,0.018112,-0.018102,20.016
1369,0.018091,-0.018082,19.58
137,0.61663,-0.017905,79.319
1370,0.018111,-0.018102,20.257
1371,0.018088,-0.018081,18.61
1372,0.018089,-0.018083,17.144
1373,0.018064,-0.018059,16.816
1374,0.018055,-0.018051,14.521
1375,0.018081,-0.018078,13.238
1376,0.018102,-0.018101,10.198
1377,0.018073,-0.018072,4.5597
1378,0.018062,-0.018062,-5.0636
1379,0.018062,-0.018062,3.3836
138,0.61681,-0.018008,80.062
1380,0.01807,-0.018069,9.1492
1381,0.018063,-0.018061,12.597
1382,0.018092,-0.018088,15.451
1383,0.018041,-0.018036,17.227
1384,0.018089,-0.018082,18.657
1385,0.018119,-0.018111,19.828
1386,0.018065,-0.018055,20.057
1387,0.018068,-0.018058,20.421
1388,0.018095,-0.018085,19.457
1389,0.018063,-0.018053,19.688
139,0.61699,-0.018115,80.146
1390,0.018038,-0.018029,19.453
1391,0.01808,-0.018072,18.816
1392,0.018092,-0.018085,18.598
1393,0.018095,-0.01809,17.563
1394,0.018105,-0.018101,15.472
1395,0.018079,-0.018077,12.952
1396,0.018044,-0.018043,9.3552
1397,0.018092,-0.018092,2.1752
